function_id,UI_function,canonical_operations,access,dashboard_target,dashboard_observed,object_panel,chat_target,validation_contract,audit_event,source_ref
ui.secret.testResolve,Test resolve,secret.resolve.test,OWNER_FULL,dashboard.drawer.secrets,NOT_IN_DASHBOARD_REFERENCE,Dashboard > Actions > secrets > secret.testResolve,CANONICAL_COMMAND,"[{""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0399""]}]","{""secret.resolve.test"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/13/actions/10
ui.audit.live,Živý přenos,log.stream,OWNER_FULL,dashboard.drawer.audit,NOT_IN_DASHBOARD_REFERENCE,Dashboard > Actions > audit > audit.live,CANONICAL_COMMAND,"[{""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0457""]}]","{""log.stream"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/14/actions/0
ui.audit.search,Hledat,log.query,OWNER_FULL,dashboard.drawer.audit,NOT_IN_DASHBOARD_REFERENCE,Dashboard > Actions > audit > audit.search,CANONICAL_COMMAND,"[{""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0062"", ""route.0262"", ""route.0456""]}]","{""log.query"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/14/actions/1
ui.audit.saveQuery,Uložit dotaz,audit.savedQuery.create,OWNER_FULL,dashboard.drawer.audit,NOT_IN_DASHBOARD_REFERENCE,Dashboard > Actions > audit > audit.saveQuery,CANONICAL_COMMAND,"[""closure/contracts/operation-payloads.json#/records/7/requestSchema""]","{""audit.savedQuery.create"": ""Every admission, transition, child reservation, outcome and manual-review decision records logicalOperationId, correlationId, actor/channel and before/after digests.""}",ui/contracts/ui-control-registry.json#/pages/14/actions/2
ui.audit.exportJsonl,Export JSONL,log.export,OWNER_FULL,dashboard.drawer.audit,NOT_IN_DASHBOARD_REFERENCE,Dashboard > Actions > audit > audit.exportJsonl,CANONICAL_COMMAND,"[{""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0459""]}]","{""log.export"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/14/actions/3
ui.audit.exportCsv,Export CSV,log.export,OWNER_FULL,dashboard.drawer.audit,NOT_IN_DASHBOARD_REFERENCE,Dashboard > Actions > audit > audit.exportCsv,CANONICAL_COMMAND,"[{""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0459""]}]","{""log.export"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/14/actions/4
ui.audit.verify,Ověřit integritu,audit.integrity.verify,OWNER_FULL,dashboard.drawer.audit,NOT_IN_DASHBOARD_REFERENCE,Dashboard > Actions > audit > audit.verify,CANONICAL_COMMAND,"[{""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0454""]}]","{""audit.integrity.verify"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/14/actions/5
ui.config.edit,Upravit,,OWNER_FULL,dashboard.drawer.configuration,NOT_IN_DASHBOARD_REFERENCE,Dashboard > Actions > configuration > config.edit,CLIENT_INTERACTION,[],{},ui/contracts/ui-control-registry.json#/pages/15/actions/0
ui.config.apply,Použít,config.apply,OWNER_FULL,dashboard.drawer.configuration,NOT_IN_DASHBOARD_REFERENCE,Dashboard > Actions > configuration > config.apply,CANONICAL_COMMAND,"[{""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0465""]}]","{""config.apply"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/15/actions/1
ui.config.cancelEdit,Zrušit změny,,OWNER_FULL,dashboard.drawer.configuration,NOT_IN_DASHBOARD_REFERENCE,Dashboard > Actions > configuration > config.cancelEdit,CLIENT_INTERACTION,[],{},ui/contracts/ui-control-registry.json#/pages/15/actions/2
ui.config.rollback,Vrátit předchozí,config.rollback,OWNER_FULL,dashboard.drawer.configuration,NOT_IN_DASHBOARD_REFERENCE,Dashboard > Actions > configuration > config.rollback,CANONICAL_COMMAND,"[""closure/contracts/operation-payloads.json#/records/8/requestSchema""]","{""config.rollback"": ""Every admission, transition, child reservation, outcome and manual-review decision records logicalOperationId, correlationId, actor/channel and before/after digests.""}",ui/contracts/ui-control-registry.json#/pages/15/actions/3
ui.config.refresh,Obnovit účinný stav,config.setting.read,OWNER_FULL,dashboard.drawer.configuration,NOT_IN_DASHBOARD_REFERENCE,Dashboard > Actions > configuration > config.refresh,CANONICAL_COMMAND,"[{""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0461""]}]","{""config.setting.read"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/15/actions/4
ui.test.runAll,Spustit vše,selfTest.run.start,OWNER_FULL,dashboard.drawer.tests-api,NOT_IN_DASHBOARD_REFERENCE,Dashboard > Actions > tests-api > test.runAll,CANONICAL_COMMAND,"[{""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0483"", ""route.0507""]}]","{""selfTest.run.start"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/16/actions/0
ui.test.runSelected,Spustit vybrané,selfTest.run.start,OWNER_FULL,dashboard.drawer.tests-api,NOT_IN_DASHBOARD_REFERENCE,Dashboard > Actions > tests-api > test.runSelected,CANONICAL_COMMAND,"[{""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0483"", ""route.0507""]}]","{""selfTest.run.start"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/16/actions/1
ui.test.cancel,Zrušit test,selfTest.run.cancel,OWNER_FULL,dashboard.drawer.tests-api,NOT_IN_DASHBOARD_REFERENCE,Dashboard > Actions > tests-api > test.cancel,CANONICAL_COMMAND,"[{""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0491""]}]","{""selfTest.run.cancel"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/16/actions/2
